ID_Registro,Fecha,Autodescarga_Porcentaje,Capacidad_MWh,Perdida_MWh,Temperatura_Ambiente_C,Configuracion_BESS,Estado_Sistema
1152,2003-02-26,0.0269,100,2.764,-6.4,BESS_100MWh,Operativo
1153,2003-02-27,0.0287,100,2.858,22.6,BESS_100MWh,Operativo
1154,2003-02-28,0.0195,100,1.951,19.1,BESS_100MWh,Operativo
1155,2003-03-01,0.0263,100,2.681,1.1,BESS_100MWh,Operativo
1156,2003-03-02,0.019,100,1.925,6.4,BESS_100MWh,Operativo
1157,2003-03-03,0.0155,100,1.529,35.8,BESS_100MWh,Operativo
1158,2003-03-04,0.0128,100,1.27,25.0,BESS_100MWh,Operativo
1159,2003-03-05,0.021,100,2.093,24.3,BESS_100MWh,Operativo
1160,2003-03-06,0.0281,100,2.817,17.1,BESS_100MWh,Operativo
1161,2003-03-07,0.0241,100,2.423,15.3,BESS_100MWh,Operativo
1162,2003-03-08,0.0217,100,2.162,22.8,BESS_100MWh,Operativo
1163,2003-03-09,0.0226,100,2.237,29.1,BESS_100MWh,Operativo
1164,2003-03-10,0.0117,100,1.139,43.8,BESS_100MWh,Operativo
1165,2003-03-11,0.0142,100,1.392,39.6,BESS_100MWh,Operativo
1166,2003-03-12,0.0162,100,1.598,35.2,BESS_100MWh,Operativo
1167,2003-03-13,0.0163,100,1.647,7.3,BESS_100MWh,Operativo
1168,2003-03-14,0.0245,100,2.425,28.5,BESS_100MWh,Operativo
1169,2003-03-15,0.0268,100,2.705,9.4,BESS_100MWh,Operativo
1170,2003-03-16,0.0145,100,1.436,29.6,BESS_100MWh,Operativo
1171,2003-03-17,0.0122,100,1.214,27.2,BESS_100MWh,Operativo
1172,2003-03-18,0.014,100,1.399,18.4,BESS_100MWh,Operativo
1173,2003-03-19,0.0193,100,1.961,4.8,BESS_100MWh,Operativo
1174,2003-03-20,0.0127,100,1.256,30.2,BESS_100MWh,Operativo
1175,2003-03-21,0.0227,100,2.26,23.5,BESS_100MWh,Operativo
1176,2003-03-22,0.0194,100,1.939,20.3,BESS_100MWh,Operativo
1177,2003-03-23,0.0132,100,1.316,22.7,BESS_100MWh,Operativo
1178,2003-03-24,0.0215,100,2.186,3.2,BESS_100MWh,Operativo
1179,2003-03-25,0.0284,100,2.79,37.0,BESS_100MWh,Operativo
1180,2003-03-26,0.0297,100,2.931,32.7,BESS_100MWh,Operativo
1181,2003-03-27,0.0122,100,1.2,36.1,BESS_100MWh,Operativo
1182,2003-03-28,0.021,100,2.112,13.0,BESS_100MWh,Operativo
1183,2003-03-29,0.0295,100,2.908,35.5,BESS_100MWh,Operativo
1184,2003-03-30,0.0196,100,1.931,33.7,BESS_100MWh,Operativo
1185,2003-03-31,0.0245,100,2.48,7.7,BESS_100MWh,Operativo
1186,2003-04-01,0.0136,100,1.376,11.0,BESS_100MWh,Operativo
1187,2003-04-02,0.0222,100,2.213,22.1,BESS_100MWh,Operativo
1188,2003-04-03,0.0104,100,1.044,18.0,BESS_100MWh,Operativo
1189,2003-04-04,0.0106,100,1.089,-2.8,BESS_100MWh,Operativo
1190,2003-04-05,0.0255,100,2.54,22.6,BESS_100MWh,Operativo
1191,2003-04-06,0.0229,100,2.305,14.6,BESS_100MWh,Operativo
1192,2003-04-07,0.0116,100,1.174,9.5,BESS_100MWh,Operativo
1193,2003-04-08,0.0118,100,1.189,16.1,BESS_100MWh,Operativo
1194,2003-04-09,0.0216,100,2.183,7.9,BESS_100MWh,Operativo
1195,2003-04-10,0.0287,100,2.906,8.0,BESS_100MWh,Operativo
1196,2003-04-11,0.0197,100,1.979,15.8,BESS_100MWh,Operativo
1197,2003-04-12,0.0252,100,2.543,12.7,BESS_100MWh,Operativo
1198,2003-04-13,0.0242,100,2.431,14.7,BESS_100MWh,Operativo
1199,2003-04-14,0.0202,100,2.041,9.5,BESS_100MWh,Operativo
1200,2003-04-15,0.0267,100,2.628,34.3,BESS_100MWh,Operativo
1201,2003-04-16,0.0183,100,1.849,8.4,BESS_100MWh,Operativo
1202,2003-04-17,0.0217,100,2.137,35.5,BESS_100MWh,Operativo
1203,2003-04-18,0.0213,100,2.131,20.0,BESS_100MWh,Operativo
1204,2003-04-19,0.0145,100,1.452,20.0,BESS_100MWh,Operativo
1205,2003-04-20,0.016,100,1.585,29.0,BESS_100MWh,Operativo
1206,2003-04-21,0.026,100,2.598,20.2,BESS_100MWh,Operativo
1207,2003-04-22,0.0264,100,2.676,7.1,BESS_100MWh,Operativo
1208,2003-04-23,0.0236,100,2.394,7.8,BESS_100MWh,Operativo
1209,2003-04-24,0.0271,100,2.717,18.8,BESS_100MWh,Operativo
1210,2003-04-25,0.0227,100,2.257,24.0,BESS_100MWh,Operativo
1211,2003-04-26,0.0241,100,2.403,22.6,BESS_100MWh,Operativo
1212,2003-04-27,0.0186,100,1.85,24.5,BESS_100MWh,Operativo
1213,2003-04-28,0.0254,100,2.536,22.3,BESS_100MWh,Operativo
1214,2003-04-29,0.0173,100,1.73,19.8,BESS_100MWh,Operativo
1215,2003-04-30,0.0113,100,1.147,9.8,BESS_100MWh,Operativo
1216,2003-05-01,0.0244,100,2.412,30.6,BESS_100MWh,Operativo
1217,2003-05-02,0.0116,100,1.152,30.5,BESS_100MWh,Operativo
1218,2003-05-03,0.013,100,1.281,33.8,BESS_100MWh,Operativo
1219,2003-05-04,0.0129,100,1.289,20.6,BESS_100MWh,Operativo
1220,2003-05-05,0.0243,100,2.427,19.0,BESS_100MWh,Operativo
1221,2003-05-06,0.027,100,2.731,8.6,BESS_100MWh,Operativo
1222,2003-05-07,0.0285,100,2.801,36.5,BESS_100MWh,Operativo
1223,2003-05-08,0.0224,100,2.233,23.5,BESS_100MWh,Operativo
1224,2003-05-09,0.0287,100,2.856,25.1,BESS_100MWh,Operativo
1225,2003-05-10,0.0181,100,1.797,26.8,BESS_100MWh,Operativo
1226,2003-05-11,0.0173,100,1.713,28.5,BESS_100MWh,Operativo
1227,2003-05-12,0.0168,100,1.677,21.2,BESS_100MWh,Operativo
1228,2003-05-13,0.0167,100,1.675,16.0,BESS_100MWh,Operativo
1229,2003-05-14,0.0248,100,2.46,28.9,BESS_100MWh,Operativo
1230,2003-05-15,0.0229,100,2.33,3.3,BESS_100MWh,Operativo
1231,2003-05-16,0.0294,100,2.987,4.8,BESS_100MWh,Operativo
1232,2003-05-17,0.0277,100,2.766,19.8,BESS_100MWh,Operativo
1233,2003-05-18,0.0244,100,2.42,29.8,BESS_100MWh,Operativo
1234,2003-05-19,0.0116,100,1.153,23.2,BESS_100MWh,Operativo
1235,2003-05-20,0.0188,100,1.91,2.3,BESS_100MWh,Operativo
1236,2003-05-21,0.0215,100,2.132,26.9,BESS_100MWh,Operativo
1237,2003-05-22,0.012,100,1.192,28.7,BESS_100MWh,Operativo
1238,2003-05-23,0.0116,100,1.129,50.1,BESS_100MWh,Operativo
1239,2003-05-24,0.0147,100,1.468,19.3,BESS_100MWh,Operativo
1240,2003-05-25,0.0155,100,1.567,8.9,BESS_100MWh,Operativo
1241,2003-05-26,0.0203,100,2.036,18.3,BESS_100MWh,Operativo
1242,2003-05-27,0.0274,100,2.74,20.2,BESS_100MWh,Operativo
1243,2003-05-28,0.013,100,1.295,21.5,BESS_100MWh,Operativo
1244,2003-05-29,0.0147,100,1.457,32.1,BESS_100MWh,Operativo
1245,2003-05-30,0.026,100,2.561,33.5,BESS_100MWh,Operativo
1246,2003-05-31,0.0164,100,1.622,32.8,BESS_100MWh,Operativo
1247,2003-06-01,0.0177,100,1.805,-2.1,BESS_100MWh,Operativo
1248,2003-06-02,0.0174,100,1.727,26.1,BESS_100MWh,Operativo
1249,2003-06-03,0.0269,100,2.688,19.8,BESS_100MWh,Operativo
1250,2003-06-04,0.0274,100,2.729,25.5,BESS_100MWh,Operativo
1251,2003-06-05,0.0265,100,2.599,41.1,BESS_100MWh,Operativo
1252,2003-06-06,0.0113,100,1.131,18.4,BESS_100MWh,Operativo
1253,2003-06-07,0.0231,100,2.286,31.0,BESS_100MWh,Operativo
1254,2003-06-08,0.0285,100,2.811,35.3,BESS_100MWh,Operativo
1255,2003-06-09,0.0253,100,2.494,33.8,BESS_100MWh,Operativo
1256,2003-06-10,0.0285,100,2.862,16.1,BESS_100MWh,Operativo
1257,2003-06-11,0.029,100,2.887,23.1,BESS_100MWh,Operativo
1258,2003-06-12,0.0255,100,2.59,3.9,BESS_100MWh,Operativo
1259,2003-06-13,0.0296,100,2.96,21.4,BESS_100MWh,Operativo
1260,2003-06-14,0.019,100,1.903,17.9,BESS_100MWh,Operativo
1261,2003-06-15,0.0268,100,2.685,16.9,BESS_100MWh,Operativo
1262,2003-06-16,0.029,100,2.853,36.1,BESS_100MWh,Operativo
1263,2003-06-17,0.0176,100,1.735,34.2,BESS_100MWh,Operativo
1264,2003-06-18,0.0152,100,1.529,14.2,BESS_100MWh,Operativo
1265,2003-06-19,0.0257,100,2.549,26.5,BESS_100MWh,Operativo
1266,2003-06-20,0.0177,100,1.751,28.7,BESS_100MWh,Operativo
1267,2003-06-21,0.0192,100,1.94,9.4,BESS_100MWh,Operativo
1268,2003-06-22,0.0174,100,1.74,21.6,BESS_100MWh,Operativo
1269,2003-06-23,0.0133,100,1.327,25.1,BESS_100MWh,Operativo
1270,2003-06-24,0.0111,100,1.113,17.2,BESS_100MWh,Operativo
1271,2003-06-25,0.0215,100,2.108,38.8,BESS_100MWh,Operativo
1272,2003-06-26,0.029,100,2.925,12.8,BESS_100MWh,Operativo
1273,2003-06-27,0.019,100,1.917,9.5,BESS_100MWh,Operativo
1274,2003-06-28,0.0282,100,2.823,20.1,BESS_100MWh,Operativo
1275,2003-06-29,0.0178,100,1.777,20.4,BESS_100MWh,Operativo
1276,2003-06-30,0.0267,100,2.689,14.1,BESS_100MWh,Operativo
1277,2003-07-01,0.0218,100,2.182,17.0,BESS_100MWh,Operativo
1278,2003-07-02,0.0294,100,2.941,20.6,BESS_100MWh,Operativo
1279,2003-07-03,0.018,100,1.812,12.4,BESS_100MWh,Operativo
1280,2003-07-04,0.0113,100,1.107,38.6,BESS_100MWh,Operativo
1281,2003-07-05,0.0119,100,1.172,33.7,BESS_100MWh,Operativo
1282,2003-07-06,0.0128,100,1.285,16.6,BESS_100MWh,Operativo
1283,2003-07-07,0.0125,100,1.228,41.2,BESS_100MWh,Operativo
1284,2003-07-08,0.0198,100,2.027,-4.3,BESS_100MWh,Operativo
1285,2003-07-09,0.02,100,2.006,17.5,BESS_100MWh,Operativo
1286,2003-07-10,0.0108,100,1.067,28.9,BESS_100MWh,Operativo
1287,2003-07-11,0.0103,100,1.02,28.9,BESS_100MWh,Operativo
1288,2003-07-12,0.0242,100,2.423,17.8,BESS_100MWh,Operativo
1289,2003-07-13,0.0212,100,2.14,11.4,BESS_100MWh,Operativo
1290,2003-07-14,0.0161,100,1.598,25.2,BESS_100MWh,Operativo
1291,2003-07-15,0.0258,100,2.582,21.3,BESS_100MWh,Operativo
1292,2003-07-16,0.0248,100,2.463,25.3,BESS_100MWh,Operativo
1293,2003-07-17,0.018,100,1.791,23.1,BESS_100MWh,Operativo
1294,2003-07-18,0.0184,100,1.849,13.3,BESS_100MWh,Operativo
1295,2003-07-19,0.0128,100,1.288,17.3,BESS_100MWh,Operativo
1296,2003-07-20,0.017,100,1.697,24.4,BESS_100MWh,Operativo
1297,2003-07-21,0.0144,100,1.418,35.5,BESS_100MWh,Operativo
1298,2003-07-22,0.0139,100,1.414,4.9,BESS_100MWh,Operativo
1299,2003-07-23,0.0172,100,1.718,22.5,BESS_100MWh,Operativo
1300,2003-07-24,0.0202,100,2.008,27.4,BESS_100MWh,Operativo
1301,2003-07-25,0.0201,100,2.03,8.1,BESS_100MWh,Operativo
1302,2003-07-26,0.0107,100,1.068,25.8,BESS_100MWh,Operativo
1303,2003-07-27,0.0182,100,1.82,20.2,BESS_100MWh,Operativo
1304,2003-07-28,0.0279,100,2.765,28.9,BESS_100MWh,Operativo
1305,2003-07-29,0.0126,100,1.252,28.4,BESS_100MWh,Operativo
1306,2003-07-30,0.0103,100,1.047,6.5,BESS_100MWh,Operativo
1307,2003-07-31,0.013,100,1.301,20.4,BESS_100MWh,Operativo
1308,2003-08-01,0.0274,100,2.763,10.0,BESS_100MWh,Operativo
1309,2003-08-02,0.0101,100,1.006,21.6,BESS_100MWh,Operativo
1310,2003-08-03,0.0173,100,1.737,15.6,BESS_100MWh,Operativo
1311,2003-08-04,0.0277,100,2.787,13.0,BESS_100MWh,Operativo
1312,2003-08-05,0.0101,100,1.014,20.6,BESS_100MWh,Operativo
1313,2003-08-06,0.0187,100,1.878,15.5,BESS_100MWh,Operativo
1314,2003-08-07,0.0181,100,1.859,-4.6,BESS_100MWh,Operativo
1315,2003-08-08,0.0221,100,2.204,22.4,BESS_100MWh,Operativo
1316,2003-08-09,0.0207,100,2.058,23.8,BESS_100MWh,Operativo
1317,2003-08-10,0.0206,100,2.055,24.1,BESS_100MWh,Operativo
1318,2003-08-11,0.0161,100,1.624,9.8,BESS_100MWh,Operativo
1319,2003-08-12,0.014,100,1.399,19.7,BESS_100MWh,Operativo
1320,2003-08-13,0.0206,100,2.072,15.4,BESS_100MWh,Operativo
1321,2003-08-14,0.012,100,1.214,11.6,BESS_100MWh,Operativo
1322,2003-08-15,0.0155,100,1.526,33.8,BESS_100MWh,Operativo
1323,2003-08-16,0.0142,100,1.422,21.1,BESS_100MWh,Operativo
1324,2003-08-17,0.0108,100,1.09,6.9,BESS_100MWh,Operativo
1325,2003-08-18,0.0253,100,2.541,16.3,BESS_100MWh,Operativo
1326,2003-08-19,0.0114,100,1.16,5.0,BESS_100MWh,Operativo
1327,2003-08-20,0.0193,100,1.94,15.1,BESS_100MWh,Operativo
1328,2003-08-21,0.0274,100,2.737,21.4,BESS_100MWh,Operativo
1329,2003-08-22,0.0158,100,1.597,10.1,BESS_100MWh,Operativo
1330,2003-08-23,0.0275,100,2.768,15.3,BESS_100MWh,Operativo
1331,2003-08-24,0.0171,100,1.691,30.6,BESS_100MWh,Operativo
1332,2003-08-25,0.0162,100,1.631,10.3,BESS_100MWh,Operativo
1333,2003-08-26,0.0192,100,1.923,20.0,BESS_100MWh,Operativo
1334,2003-08-27,0.0193,100,1.926,20.5,BESS_100MWh,Operativo
1335,2003-08-28,0.0259,100,2.596,18.8,BESS_100MWh,Operativo
1336,2003-08-29,0.0239,100,2.401,15.5,BESS_100MWh,Operativo
1337,2003-08-30,0.0284,100,2.825,24.3,BESS_100MWh,Operativo
1338,2003-08-31,0.0196,100,1.922,41.4,BESS_100MWh,Operativo
1339,2003-09-01,0.0197,100,1.958,27.1,BESS_100MWh,Operativo
1340,2003-09-02,0.0262,100,2.62,19.5,BESS_100MWh,Operativo
1341,2003-09-03,0.0165,100,1.649,21.7,BESS_100MWh,Operativo
1342,2003-09-04,0.0245,100,2.458,15.9,BESS_100MWh,Operativo
1343,2003-09-05,0.0256,100,2.544,26.5,BESS_100MWh,Operativo
1344,2003-09-06,0.0225,100,2.278,7.3,BESS_100MWh,Operativo
1345,2003-09-07,0.0123,100,1.222,24.7,BESS_100MWh,Operativo
1346,2003-09-08,0.0202,100,1.995,34.0,BESS_100MWh,Operativo
1347,2003-09-09,0.0109,100,1.079,31.7,BESS_100MWh,Operativo
1348,2003-09-10,0.0174,100,1.744,18.6,BESS_100MWh,Operativo
1349,2003-09-11,0.0298,100,2.959,25.7,BESS_100MWh,Operativo
1350,2003-09-12,0.0219,100,2.176,25.1,BESS_100MWh,Operativo
1351,2003-09-13,0.0159,100,1.562,36.8,BESS_100MWh,Operativo
1352,2003-09-14,0.0273,100,2.77,6.1,BESS_100MWh,Operativo
1353,2003-09-15,0.0242,100,2.453,6.8,BESS_100MWh,Operativo
1354,2003-09-16,0.0225,100,2.267,12.4,BESS_100MWh,Operativo
1355,2003-09-17,0.0115,100,1.162,6.4,BESS_100MWh,Operativo
1356,2003-09-18,0.0272,100,2.74,13.1,BESS_100MWh,Operativo
1357,2003-09-19,0.0231,100,2.313,20.3,BESS_100MWh,Operativo
1358,2003-09-20,0.0255,100,2.579,9.5,BESS_100MWh,Operativo
1359,2003-09-21,0.0124,100,1.22,35.2,BESS_100MWh,Operativo
1360,2003-09-22,0.0142,100,1.418,24.2,BESS_100MWh,Operativo
1361,2003-09-23,0.0292,100,2.857,40.9,BESS_100MWh,Operativo
1362,2003-09-24,0.0172,100,1.706,28.3,BESS_100MWh,Operativo
1363,2003-09-25,0.0257,100,2.548,27.6,BESS_100MWh,Operativo
1364,2003-09-26,0.0197,100,1.97,21.8,BESS_100MWh,Operativo
1365,2003-09-27,0.0225,100,2.214,37.8,BESS_100MWh,Operativo
1366,2003-09-28,0.0247,100,2.429,37.2,BESS_100MWh,Operativo
1367,2003-09-29,0.0119,100,1.21,5.7,BESS_100MWh,Operativo
1368,2003-09-30,0.0194,100,1.901,38.1,BESS_100MWh,Operativo
1369,2003-10-01,0.0187,100,1.868,18.5,BESS_100MWh,Operativo
1370,2003-10-02,0.0174,100,1.755,10.6,BESS_100MWh,Operativo
1371,2003-10-03,0.013,100,1.283,29.6,BESS_100MWh,Operativo
1372,2003-10-04,0.0285,100,2.823,30.0,BESS_100MWh,Operativo
1373,2003-10-05,0.0271,100,2.697,24.6,BESS_100MWh,Operativo
1374,2003-10-06,0.0278,100,2.763,25.0,BESS_100MWh,Operativo
1375,2003-10-07,0.0203,100,2.029,21.2,BESS_100MWh,Operativo
1376,2003-10-08,0.0267,100,2.693,12.2,BESS_100MWh,Operativo
1377,2003-10-09,0.0119,100,1.19,17.3,BESS_100MWh,Operativo
1378,2003-10-10,0.0105,100,1.052,22.4,BESS_100MWh,Operativo
1379,2003-10-11,0.0243,100,2.404,28.6,BESS_100MWh,Operativo
1380,2003-10-12,0.0233,100,2.326,23.3,BESS_100MWh,Operativo
1381,2003-10-13,0.0152,100,1.527,16.3,BESS_100MWh,Operativo
1382,2003-10-14,0.0218,100,2.171,25.2,BESS_100MWh,Operativo
1383,2003-10-15,0.0155,100,1.535,29.7,BESS_100MWh,Operativo
1384,2003-10-16,0.0241,100,2.421,14.9,BESS_100MWh,Operativo
1385,2003-10-17,0.0283,100,2.852,12.9,BESS_100MWh,Operativo
1386,2003-10-18,0.0279,100,2.765,29.5,BESS_100MWh,Operativo
1387,2003-10-19,0.0115,100,1.152,17.9,BESS_100MWh,Operativo
1388,2003-10-20,0.026,100,2.61,16.1,BESS_100MWh,Operativo
1389,2003-10-21,0.0287,100,2.855,26.0,BESS_100MWh,Operativo
1390,2003-10-22,0.0221,100,2.201,22.0,BESS_100MWh,Operativo
1391,2003-10-23,0.0288,100,2.864,24.2,BESS_100MWh,Operativo
1392,2003-10-24,0.0142,100,1.421,19.3,BESS_100MWh,Operativo
1393,2003-10-25,0.0145,100,1.464,13.3,BESS_100MWh,Operativo
1394,2003-10-26,0.02,100,2.015,14.9,BESS_100MWh,Operativo
1395,2003-10-27,0.0207,100,2.086,12.9,BESS_100MWh,Operativo
1396,2003-10-28,0.0285,100,2.822,30.2,BESS_100MWh,Operativo
1397,2003-10-29,0.0272,100,2.666,38.8,BESS_100MWh,Operativo
1398,2003-10-30,0.0158,100,1.59,14.8,BESS_100MWh,Operativo
1399,2003-10-31,0.0189,100,1.896,17.2,BESS_100MWh,Operativo
1400,2003-11-01,0.013,100,1.293,28.0,BESS_100MWh,Operativo
1401,2003-11-02,0.0174,100,1.771,5.1,BESS_100MWh,Operativo
1402,2003-11-03,0.0232,100,2.31,23.1,BESS_100MWh,Operativo
1403,2003-11-04,0.0191,100,1.905,20.5,BESS_100MWh,Operativo
1404,2003-11-05,0.0225,100,2.267,12.2,BESS_100MWh,Operativo
1405,2003-11-06,0.0215,100,2.115,38.1,BESS_100MWh,Operativo
1406,2003-11-07,0.0113,100,1.14,10.8,BESS_100MWh,Operativo
1407,2003-11-08,0.028,100,2.834,7.4,BESS_100MWh,Operativo
1408,2003-11-09,0.0164,100,1.667,7.1,BESS_100MWh,Operativo
1409,2003-11-10,0.0278,100,2.8,13.1,BESS_100MWh,Operativo
1410,2003-11-11,0.025,100,2.481,28.2,BESS_100MWh,Operativo
1411,2003-11-12,0.0157,100,1.583,10.0,BESS_100MWh,Operativo
1412,2003-11-13,0.0205,100,2.055,16.5,BESS_100MWh,Operativo
1413,2003-11-14,0.0259,100,2.613,9.7,BESS_100MWh,Operativo
1414,2003-11-15,0.0237,100,2.339,35.1,BESS_100MWh,Operativo
1415,2003-11-16,0.0223,100,2.268,2.9,BESS_100MWh,Operativo
1416,2003-11-17,0.0106,100,1.058,23.0,BESS_100MWh,Operativo
1417,2003-11-18,0.0107,100,1.076,13.0,BESS_100MWh,Operativo
1418,2003-11-19,0.016,100,1.606,13.9,BESS_100MWh,Operativo
1419,2003-11-20,0.0215,100,2.145,21.6,BESS_100MWh,Operativo
1420,2003-11-21,0.0277,100,2.731,35.3,BESS_100MWh,Operativo
1421,2003-11-22,0.021,100,2.097,21.2,BESS_100MWh,Operativo
1422,2003-11-23,0.0194,100,1.961,11.5,BESS_100MWh,Operativo
1423,2003-11-24,0.0236,100,2.389,7.4,BESS_100MWh,Operativo
1424,2003-11-25,0.0284,100,2.884,6.1,BESS_100MWh,Operativo
1425,2003-11-26,0.0283,100,2.838,18.1,BESS_100MWh,Operativo
1426,2003-11-27,0.0252,100,2.499,28.7,BESS_100MWh,Operativo
1427,2003-11-28,0.0288,100,2.879,19.9,BESS_100MWh,Operativo
1428,2003-11-29,0.027,100,2.739,5.0,BESS_100MWh,Operativo
1429,2003-11-30,0.0205,100,2.057,18.7,BESS_100MWh,Operativo
1430,2003-12-01,0.0254,100,2.502,34.6,BESS_100MWh,Operativo
1431,2003-12-02,0.0154,100,1.532,24.8,BESS_100MWh,Operativo
1432,2003-12-03,0.0146,100,1.45,25.3,BESS_100MWh,Operativo
1433,2003-12-04,0.0275,100,2.745,23.0,BESS_100MWh,Operativo
1434,2003-12-05,0.0269,100,2.7,15.7,BESS_100MWh,Operativo
1435,2003-12-06,0.0265,100,2.658,17.7,BESS_100MWh,Operativo
1436,2003-12-07,0.0106,100,1.058,18.6,BESS_100MWh,Operativo
1437,2003-12-08,0.0103,100,1.048,5.7,BESS_100MWh,Operativo
1438,2003-12-09,0.0274,100,2.742,20.5,BESS_100MWh,Operativo
1439,2003-12-10,0.0134,100,1.328,25.9,BESS_100MWh,Operativo
1440,2003-12-11,0.0294,100,2.93,22.4,BESS_100MWh,Operativo
1441,2003-12-12,0.0272,100,2.718,21.4,BESS_100MWh,Operativo
1442,2003-12-13,0.0135,100,1.369,5.6,BESS_100MWh,Operativo
1443,2003-12-14,0.0218,100,2.196,12.5,BESS_100MWh,Operativo
1444,2003-12-15,0.0208,100,2.105,8.5,BESS_100MWh,Operativo
1445,2003-12-16,0.0123,100,1.244,6.5,BESS_100MWh,Operativo
1446,2003-12-17,0.0214,100,2.171,7.7,BESS_100MWh,Operativo
1447,2003-12-18,0.0217,100,2.145,29.9,BESS_100MWh,Operativo
1448,2003-12-19,0.0228,100,2.286,17.0,BESS_100MWh,Operativo
1449,2003-12-20,0.0256,100,2.609,0.5,BESS_100MWh,Operativo
1450,2003-12-21,0.0178,100,1.76,31.6,BESS_100MWh,Operativo
1451,2003-12-22,0.0142,100,1.414,23.0,BESS_100MWh,Operativo
1452,2003-12-23,0.0122,100,1.218,22.9,BESS_100MWh,Operativo
1453,2003-12-24,0.0267,100,2.663,23.8,BESS_100MWh,Operativo
1454,2003-12-25,0.0252,100,2.493,32.0,BESS_100MWh,Operativo
1455,2003-12-26,0.0289,100,2.842,35.3,BESS_100MWh,Operativo
1456,2003-12-27,0.0292,100,2.918,19.2,BESS_100MWh,Operativo
1457,2003-12-28,0.018,100,1.763,40.0,BESS_100MWh,Operativo
1458,2003-12-29,0.0198,100,1.997,13.1,BESS_100MWh,Operativo
1459,2003-12-30,0.0154,100,1.521,34.0,BESS_100MWh,Operativo
1460,2003-12-31,0.0102,100,1.011,25.8,BESS_100MWh,Operativo
1461,2004-01-01,0.0139,100,1.401,14.9,BESS_100MWh,Operativo
1462,2004-01-02,0.0169,100,1.689,20.1,BESS_100MWh,Operativo
1463,2004-01-03,0.0182,100,1.829,17.2,BESS_100MWh,Operativo
1464,2004-01-04,0.0144,100,1.451,10.0,BESS_100MWh,Operativo
1465,2004-01-05,0.0192,100,1.884,37.2,BESS_100MWh,Operativo
1466,2004-01-06,0.021,100,2.08,29.5,BESS_100MWh,Operativo
1467,2004-01-07,0.0108,100,1.072,30.6,BESS_100MWh,Operativo
1468,2004-01-08,0.0275,100,2.739,23.1,BESS_100MWh,Operativo
1469,2004-01-09,0.0145,100,1.456,17.4,BESS_100MWh,Operativo
1470,2004-01-10,0.021,100,2.106,18.6,BESS_100MWh,Operativo
1471,2004-01-11,0.0243,100,2.433,19.2,BESS_100MWh,Operativo
1472,2004-01-12,0.026,100,2.63,10.0,BESS_100MWh,Operativo
1473,2004-01-13,0.0236,100,2.329,31.5,BESS_100MWh,Operativo
1474,2004-01-14,0.0179,100,1.741,45.7,BESS_100MWh,Operativo
1475,2004-01-15,0.0189,100,1.873,30.0,BESS_100MWh,Operativo
1476,2004-01-16,0.0226,100,2.287,8.0,BESS_100MWh,Operativo
1477,2004-01-17,0.0141,100,1.403,23.1,BESS_100MWh,Operativo
1478,2004-01-18,0.0202,100,2.033,13.6,BESS_100MWh,Operativo
1479,2004-01-19,0.0115,100,1.156,15.2,BESS_100MWh,Operativo
1480,2004-01-20,0.0158,100,1.576,21.2,BESS_100MWh,Operativo
1481,2004-01-21,0.0149,100,1.517,4.5,BESS_100MWh,Operativo
1482,2004-01-22,0.026,100,2.589,23.7,BESS_100MWh,Operativo
1483,2004-01-23,0.0144,100,1.476,-2.0,BESS_100MWh,Operativo
1484,2004-01-24,0.0113,100,1.143,6.1,BESS_100MWh,Operativo
1485,2004-01-25,0.0176,100,1.779,9.2,BESS_100MWh,Operativo
1486,2004-01-26,0.0276,100,2.77,17.2,BESS_100MWh,Operativo
1487,2004-01-27,0.0175,100,1.747,22.7,BESS_100MWh,Operativo
1488,2004-01-28,0.0103,100,1.019,31.3,BESS_100MWh,Operativo
1489,2004-01-29,0.024,100,2.365,35.4,BESS_100MWh,Operativo
1490,2004-01-30,0.0236,100,2.379,13.7,BESS_100MWh,Operativo
1491,2004-01-31,0.0248,100,2.478,19.6,BESS_100MWh,Operativo
1492,2004-02-01,0.028,100,2.782,25.3,BESS_100MWh,Operativo
1493,2004-02-02,0.0133,100,1.33,21.9,BESS_100MWh,Operativo
1494,2004-02-03,0.0275,100,2.75,19.4,BESS_100MWh,Operativo
1495,2004-02-04,0.0262,100,2.595,30.2,BESS_100MWh,Operativo
1496,2004-02-05,0.0147,100,1.482,9.6,BESS_100MWh,Operativo
1497,2004-02-06,0.0234,100,2.343,19.2,BESS_100MWh,Operativo
1498,2004-02-07,0.0198,100,1.977,22.6,BESS_100MWh,Operativo
1499,2004-02-08,0.0181,100,1.799,24.5,BESS_100MWh,Operativo
1500,2004-02-09,0.0244,100,2.44,18.9,BESS_100MWh,Operativo
1501,2004-02-10,0.0143,100,1.442,12.1,BESS_100MWh,Operativo
1502,2004-02-11,0.0139,100,1.391,22.1,BESS_100MWh,Operativo
1503,2004-02-12,0.0121,100,1.213,21.7,BESS_100MWh,Operativo
1504,2004-02-13,0.0153,100,1.539,13.8,BESS_100MWh,Operativo
1505,2004-02-14,0.0254,100,2.514,28.4,BESS_100MWh,Operativo
1506,2004-02-15,0.0188,100,1.883,16.3,BESS_100MWh,Operativo
1507,2004-02-16,0.0172,100,1.703,33.1,BESS_100MWh,Operativo
1508,2004-02-17,0.019,100,1.881,31.6,BESS_100MWh,Operativo
